Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1961","1961","tonnes","880","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1962","1962","tonnes","900","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1963","1963","tonnes","960","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1964","1964","tonnes","1000","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1965","1965","tonnes","1100","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1966","1966","tonnes","1150","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1967","1967","tonnes","1300","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1968","1968","tonnes","1350","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1969","1969","tonnes","1450","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1970","1970","tonnes","1650","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1971","1971","tonnes","1950","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1972","1972","tonnes","2000","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1973","1973","tonnes","2100","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1974","1974","tonnes","2200","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1975","1975","tonnes","2500","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1976","1976","tonnes","2800","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1977","1977","tonnes","3350","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1978","1978","tonnes","3400","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1979","1979","tonnes","3550","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1980","1980","tonnes","3650","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1981","1981","tonnes","3650","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1982","1982","tonnes","3600","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1983","1983","tonnes","3700","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1984","1984","tonnes","3700","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1985","1985","tonnes","3800","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1986","1986","tonnes","3800","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1987","1987","tonnes","3900","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1988","1988","tonnes","3900","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1989","1989","tonnes","3900","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1990","1990","tonnes","2382","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1991","1991","tonnes","1800","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1992","1992","tonnes","1500","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1993","1993","tonnes","1100","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1994","1994","tonnes","1000","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1995","1995","tonnes","950","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1996","1996","tonnes","1250","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1997","1997","tonnes","900","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1998","1998","tonnes","680","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","1999","1999","tonnes","850","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","2000","2000","tonnes","800","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","2001","2001","tonnes","970","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","2002","2002","tonnes","762","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","2003","2003","tonnes","800","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","2004","2004","tonnes","1000","E","Estimated value"
