Area,Element,Item,Year,Unit,Value,Flag Description,Origin
Austria,Export Value,Butter of cow milk,2012,1000 US$,1.0,Official figure,Europe
Austria,Export Value,Butter of cow milk,2013,1000 US$,0.0,Official figure,Europe
Austria,Export Value,Butter of cow milk,2014,1000 US$,0.0,Official figure,Europe
Austria,Export Value,Butter of cow milk,2015,1000 US$,0.0,Official figure,Europe
Austria,Export Value,Butter of cow milk,2016,1000 US$,190.0,Official figure,Europe
Austria,Export Value,Butter of cow milk,2017,1000 US$,1.0,Official figure,Europe
Austria,Export Value,Butter of cow milk,2018,1000 US$,1.0,Official figure,Europe
Austria,Export Value,Butter of cow milk,2019,1000 US$,0.0,Official figure,Europe
Austria,Export Value,Cheese from whole cow milk,2010,1000 US$,1991.0,Official figure,Europe
Austria,Export Value,Cheese from whole cow milk,2011,1000 US$,1535.0,Official figure,Europe
Austria,Export Value,Cheese from whole cow milk,2012,1000 US$,1665.0,Official figure,Europe
Austria,Export Value,Cheese from whole cow milk,2013,1000 US$,931.0,Official figure,Europe
Austria,Export Value,Cheese from whole cow milk,2014,1000 US$,338.0,Official figure,Europe
Austria,Export Value,Cheese from whole cow milk,2015,1000 US$,235.0,Official figure,Europe
Austria,Export Value,Cheese from whole cow milk,2016,1000 US$,1045.0,Official figure,Europe
Austria,Export Value,Cheese from whole cow milk,2017,1000 US$,1513.0,Official figure,Europe
Austria,Export Value,Cheese from whole cow milk,2018,1000 US$,1879.0,Official figure,Europe
Austria,Export Value,Cheese from whole cow milk,2019,1000 US$,1469.0,Official figure,Europe
Austria,Export Value,"Cream, fresh",2010,1000 US$,0.0,Official figure,Europe
Austria,Export Value,"Cream, fresh",2012,1000 US$,560.0,Official figure,Europe
Austria,Export Value,"Cream, fresh",2013,1000 US$,8.0,Official figure,Europe
Austria,Export Value,"Cream, fresh",2014,1000 US$,92.0,Official figure,Europe
Austria,Export Value,"Cream, fresh",2015,1000 US$,267.0,Official figure,Europe
Austria,Export Value,"Cream, fresh",2016,1000 US$,330.0,Official figure,Europe
Austria,Export Value,"Cream, fresh",2017,1000 US$,675.0,Official figure,Europe
Austria,Export Value,"Cream, fresh",2018,1000 US$,817.0,Official figure,Europe
Austria,Export Value,"Cream, fresh",2019,1000 US$,892.0,Official figure,Europe
Austria,Export Value,Skim milk and whey powder,2010,1000 US$,23.0,Official figure,Europe
Austria,Export Value,Skim milk and whey powder,2012,1000 US$,117.0,Official figure,Europe
Austria,Export Value,Skim milk and whey powder,2013,1000 US$,80.0,Official figure,Europe
Austria,Export Value,Skim milk and whey powder,2014,1000 US$,3.0,Official figure,Europe
Austria,Export Value,Skim milk and whey powder,2015,1000 US$,62.0,Official figure,Europe
