,tweet
0,People out here complaining about the price of milk and eggs but can't pick up their damn phone for 2 minutes and voice their opinions to their representatives!! WTF! Don't complain if you're not going to voice your opinion to the people that are supposed to represent you!
1,@iamcardib Giiiirrrrrrrl.... here in Puerto Rico the price of a Gallon of milk is almost $7 and w/o taxes.
2,@_princessdj I’m about to start selling feet pics and breast milk lmao like wtf the price of everything is going up but jobs are cutting hours left and right
3,"@vuser888 @siomoCTV Very true. I was just going to say it. Here in Vancouver for 4 friggen tiny, and I mean TINY pieces of chicken breast pretty much at that price. Just disgusts me. And don't even look at the chicken thighs and legs.. going up as well. Price of milk for a 2L already at $6. G@$10"
4,@ndavher @iamkoshiek Was telling a friend earlier today. We are surrounded by cows &amp; goats in the village on a daily basis yet we crying over a price of milk. We sitting on gold.
5,"@JosefSzentjobi Pretty much... that and it is designed to make the cost of dairy and beef (chicken) skyrocket.

At last count I believe there were a total of 29 distributors / packing plants that have burned down or gone bankrupt because of banks pulling their loans."
6,"@iamcardib Ha! At least @iamcardib know the cost🤷🏽‍♀️ remember that scene on the Tyler Perry movie, he didn’t even know how much a gallon of milk was chileee…😩"
7,@gunnerblog Pint of milk's gonna cost 100 pound
8,"@angieLovesUSA @PlantBasedNews No.  By removing subsidies, I’m not forcing them to do anything.  They can continue to eat all of the meat, dairy, and eggs that they’d like; they just have to pay the full cost for doing so.  But would you prefer that I be forced to pay taxes so that can live by their beliefs?"
9,@JessYoungTweets @mishmashtaketwo It so is way to go for keeping it up. For myself this time I bottle feed coz I couldn’t make enough milk coz of my surgery and I so hate it I don’t have that bonding time with him as much as I would if I had breastfeed the cost cleaning bottles finding hot water etc etc
10,minimum wage in georgia is $5.15/hr according to google while the price of milk is damn near the same price .. prices going up for groceries and living cost due to inflation but if y’all paying us the bare minimum HOW TF WE SUPPOSED TO AFFORD IT 🤬
11,@GarbageGangHQ saying the backup is nothing but an extra dollar on the cover price is giving off a bad impression how????  Especially responding about something where people are losing their minds over it?!?!?!?  That is quite the observation!  I better stop complaining about the price of milk!
12,"@microwavesoups The best price I’ve seen is on Amazon! They’re a little smaller than ones you’d get in stores but still 20g of protein so it’s good:)! 
-
Muscle Milk Genuine Protein... https://t.co/5rnmBEK3y0"
13,@SChristyJones Her mince recipe was cheaper by 61p but mine factored in mash potatoes including the milk and a block of butter. Not that I use a whole block but maths isn’t my strong point to figure out the % cost. 😆 she sticks hers on toast.
14,"Muscle Milk Zero Protein Shake, Chocolate, 11.2 Fl Oz (Pack of 12), 20g Protein, Zero Sugar, 100 Cal

 LINK: 
 https://t.co/0GMmAldJ4F
 
 Price: $19.19 ($0.14 / Fl Oz)
 Discount: $4.80 (20%)
#MuscleMilk https://t.co/vJxzrW3rpa"
15,"@POTUS Great Joe, just stop printing money or a gallon of milk will cost $47 by the end of the year."
16,"Microplastics are showing up in people’s blood, breast milk, lungs, guts, and even newborns’ first feces, because we’re absolutely surrounded by plastic products. (via @WIRED)

https://t.co/OKNSeYW8uN"
17,"Atkins Gluten Free Protein-Rich Shake, Milk Chocolate Delight, Keto Friendly (Pack of 12), 11 Fl Oz

 LINK: 
 https://t.co/2SXR6st47b
 
 Price: $13.98 ($0.11 / Fl Oz)
 Discount: $11.01 (44%)
#ProteinDrinks https://t.co/urNSfCIT8y"
18,"@ryan_hassett @bread_fixer @nilocobau @macsquirelera @RyanRadia country that is often thought of as a high labour cost and generally expensive country, basic food and services are often cheaper than in other economies. 

This used to be very noticeable with milk produce that was subsidised in Germany and so could sometimes cost half"
19,"EU and world monthly raw milk prices – latest updates:

EU prices of raw milk
World prices of raw milk
EU historical prices
https://t.co/sD15tmxDwZ https://t.co/Q6NkNQnVTl"
20,"⁦@WOOLWORTHS_SA⁩ 

Well for me the bottom line is you get what you pay for. 
The milk doesn’t go off after one day &amp; looks clean. 
Unlike some other stores I won’t mention where the cold chain is barely adhered to and the back of store is filthy https://t.co/ruTyu23tvL"
21,"I promise Starbucks is just like Waffle House. There are never two times my drink is the same price! 

Earl grey latte. Almond milk. One extra pump of vanilla. More milk than water. 

Sometimes it’s $6.17, then $4.57, and today $5.41. 🤷🏾‍♀️"
22,"I'm finding that the cost of many foods have sky rocketed far more than 13% recently. Soya milk and custard up 15-20%, supermarket brand coffee (24%) and oatkcakes up 72%.  Yet news reports tell us that inflation is easing now! #CostOfLivingCrisis  #FoodInflation https://t.co/1P7AKkFRjq"
23,@HeatherThomasAF ♥️🇨🇦 Popcorn is a must to watch the dark magic of McCarthy’s desperate attempts to suck “breast survival milk” from 19 Republican revenge clowns as they throw pies into powerless faces. The cost of circus admittance was always too high but they bought the tickets anyway. ♥️🇨🇦 https://t.co/jkZ79volY9
24,"""Microplastics are showing up in people’s blood, breast milk, lungs, guts, and even newborns’ first feces, because we’re absolutely surrounded by plastic products — clothing, carpeting, couches, bottles, bags.""
 https://t.co/7c8ZvazG4z"
25,"@HedgeyeDJ Prices across the board today in Europe are half to a third the cost of same item in the US.
May change. Gonna need a huge leap up to catch US producers' overcharging for milk and eggs. US dollar is so strong in Europe, but the euro is about equal to the dollar. What's the diff?"
26,"My biggest fear about inflation isn’t the cost of goods… it’s that the Fed will try to stop it with market/supply control. 

The fallout from that will be much worse than $8 milk."
